sentimen,tweet,_exclaim,_question,_upper_rt,tweet_pp
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ",1,0,0.08108108108108109,pilih pemimpin udh pencapaiannya pencapaian pemerintahan coblos yuk kerja
positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv",0,0,0.04032258064516129,calon presiden program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan jokowikyaimaruf
negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",0,0,0.06923076923076923,lu yunartowijaya sih atabdillahtoha mengaca mengajari sandi dibanding
positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ",0,0,0.047619047619047616,pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak jokowikyaimaruf rakyatinginjokowimenang
netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",0,0,0.027777777777777776,berat nge bahas dgn angka bahas mobil lejen
netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘",0,0,0.017341040462427744,mantul pakmengisi tenang umroh kel tercinta istri anak keluarga asset plg berharga sehat pakde
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,1,0,0.08303249097472924,sisi industri kreatif inovatif era industri global tergerak mengubah badan kreatif berat kementerian coblos yuk kerja
positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS",0,0,0.07885304659498207,pakta integritas prabowo sandi ulama terlibat ijtima ulama pancasila nkri harga mati tidak khilafah khilafah berjualan makhluk kolam uasdifitnahkejidanbrutal uasdifitnahkejibalasditps
netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­",0,0,0.08029197080291971,dengar mbak videonya beli listrik purbasari harga ribu beli listrik yq ribu
positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,2,2,0.059574468085106386,prabowo tni puluhan ambil gajinya rupiah sandi wagub susah ya cari orang ? ? ambil gaji hasil kerja negara
netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,0,0,0.04411764705882353,assalamualaikum suara sgt berharga dlm upaya memenangkan prabowo sandiuno hrs merelakan suara jkt ktp daerah semoga suara tdk disediakan terbalaskan dgn doa semoga allah swt mengabulkan aamiin ya rabbani
negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦",2,1,0.030927835051546393,terpilih prabowosandiaga janji ambil gaji orangorang superkaya mbok ya rendah istilah jangan berkonotasi angkuh
negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,0,1,0.01568627450980392,prabowo menghargai relawan puasa tingkatan muhamad semalam suntuk berdoa kemenangan ? mohon dibalas tweet kontribusi ngopi rokok dll tirakatmujahadah tdk gagalnya tingkat munajadin
positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi,0,0,0.0273224043715847,prabowo sandi menang otomatis bersedekah kaum parkir miskin dhuafa gaji tidak diambil disedekahkan apriltusukprabowosandi
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,0,0,0.05862068965517241,kepercayaan percaya mrk berpengalaman memiliki wakil berpengalaman dibidang coblos yuk ya
negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***",0,0,0.7913669064748201,ummat islam waras cerdas senang beramalcoblos prabowo andil dlm gaji beliau tdk diambil amal
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦",0,0,0.06474820143884892,keberhasilan tidak dibidang infrastruktur berhasil memperbaiki indonesia coblos yuk ya
negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno",0,0,0.06474820143884892,model ngeles petruk ketar berbusa didepan sandi mengomongkan makaroni congkaknya untung sandi nya sabar kick pantesan menterinya pintar bodong jualannya kyk gini perokok nya uasdifitnahkejibalasditps prabowo sandiuno
positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS",0,0,0.05527638190954774,memilih bersodakoh prabowo sandi mengembangkan gaji negarafakir miskin yatim piatu masjid jadikan prabowo sandi presiden wakil presiden saveuas
positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,0,0,0.07389162561576355,alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan prabowo sandiuno karniilyas rockygerung prabowosandi menangadilmakmur
netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS",0,0,0.09386281588447654,nya ya percaya saudara perjuangan ikhlas negeri berubah baik masyarakatnya damai tenang amankesejahteraan meningkat harga rendah stabil uasdifitnahkejibalasditps uasdifitnahkejibalasditps
negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,3,0,0.11372549019607843,divhumaspolri meladeni pulisi pulisi gaji pakai duit bukaan rakyat lapor nya tunggu ganti presiden uasdifitnahkejidanbrutal uasdifitnahkejidanbrutal uasdifitnahkejidanbrut
negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦",0,0,0.09688581314878893,baguslah pendukung tebang pohon bkn golokgergaji ranting pohon elektabilitas nyungsep bkn lawan politiknya pendukung tolol dipelihara dasar ebong
positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ",0,0,0.06802721088435375,tidak harga cabai grup harga bawang grup beraninya kasihan jokowikyaimaruf periodelagiuntukjokowi pesonabonosurfing
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,0,0,0.04712041884816754,presiden raja salman sepakat tingkatkan kerjasama via apahabarcom
negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,0,0,0.012048192771084338,kelar hidupmu bisanya harga mahal turunkan solusi kubu prabowo bahlil
positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,0,0,0.24892703862660945,terima gaji sbg presiden wapres dikembangkan negara fakhiri miskinpertama dlm sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno youtube
positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.",0,0,0.016483516483516484,infrastruktur bangun pakai uang pribadi mendukung tidak pakai pajak warga negara bayar
positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",0,0,0.04113924050632911,pilihygjelasislamnya pilihygbajuputih penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",0,1,0.09125475285171103,bersatu jokowikma pencapaian berhasil tercapai pertumbuhan era pemerintahan meningkat
netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,0,0,0.06086956521739131,orang negeri menghargai prestasi negaranya
netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal",0,0,0.06790123456790123,maaf rakyat tdk butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja bukan janji uasdifitnahkejidanbrutal
netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi",0,0,0.09358288770053476,gameofthrones winter coming pidato imf bank dunia dunia game prof drones game prof drone presiden kekuatan dikalahkan mbil winter tetapjokowi
positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l",0,0,0.08235294117647059,vidiaamanda april pilih jokowikma pertumbuhan pemberantasan zaman bukan pertumbuhan pemberantasan pembangunan
netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,0,0,0.05803571428571429,raja salman sepakat tingkatkan kerja optimisindonesiamaju
negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,0,0,0.09243697478991597,uahuasuahuas surga bahagia bahagia sempurna gandeng tangan prabowo ustad yakin masuk surga ckckck salah memilih guru mengaji gue gantipengajian
negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi",0,0,0.04964539007092199,anggota kpu tdk layak digaji malu diutamakan isi perut gede bacot minim toleran prestasi cocok
netral,"Gasah mengejek program pa jokowi , karena program ini jg tdk asal ,pasti sdh dipikirkan mateng ,seperti program kis dulu ....mari kita hargai jgn saling menghujat .",0,0,0.006097560975609756,mengejek program program tdk sdh dipikirkan mateng program kamis mari hargai jgn menghujat
netral,Monggo silahkan..itu hak anda...hargai juga kami yg inginkan perubahan lebih baik...,0,0,0.011904761904761904,monggo silahkanitu hak andahargai perubahan baik
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.   https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",0,0,0.035483870967741936,penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
negatif,"He, he, he, sok bijak nih antek ORBA! Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi, ada Jenderal SBY! Gimana demokrat ngga beralih dukungan ke Jokowi coba?",2,1,0.07729468599033816,banget banget banget sok bijak nih antek orba pikirkan letjen pemecatan bilang biang kerok indonesia presiden jenderal sby gimana demokrat beralih dukungan coba ?
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi:  http://metrobali.com/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @metrobali,0,0,0.0546448087431694,presiden raja salman sepakat tingkatkan kerja via metrobali
netral,"gue kasih tau..Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.Â  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",0,0,0.045871559633027525,gue kasih taubeberapa penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://www.balinetizen.com/2019/04/14/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi/Â â€¦ via @Bali Netizen,0,0,0.059113300492610835,presiden raja salman sepakat tingkatkan kerja via bali netizen
positif,"Dalam penjelasannya Kyai @KHMarufAmin_ mau menjadi cawapres karna @jokowi punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia, membangun ekonomi dri bawah.   https://bit.ly/2Zbe65vÂ  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih",0,0,0.07142857142857142,penjelasannya kyai khmarufamin cawapres komitmen terkait umat dgn disebutnya arus indonesia membangun dri pilihygjelasislamnya pilihygbajuputih
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.  https://bit.ly/2IpbIDdÂ ",0,0,0.07042253521126761,menterinya berprestasi pemimpinnya era dimana menterinya meraih penghargaan
negatif,#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,0,0,0.13333333333333333,populer naikkan tax operation drastis guncangan
positif,"Lalu berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",0,1,0.08264462809917356,pencapaian berhasil tercapai pertumbuhan era pemerintahan meningkat pilihygjelasislamnya pilihygbajuputih
negatif,"Disitu pak jokowi hanya membahas game online bagi pemain profesional, bahkan sekarang udah ada piala presiden Mobile legend, dan hadiahnya sangat besar. Jika kita mau bersaing didunia online seperti game, ekonomi kita juga akan naik.",0,0,0.012875536480686695,disitu membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game
positif,"@Jokowi @KHMarufAmin_ 17 April Pilih Jokowi-KMA. Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat. Murni mendalami agama, tanpa unsur pencitraan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih",0,0,0.1085972850678733,khmarufamin april pilih jokowikma mengerti kalo belajar mengaji pejabat murni mendalami agama unsur pencitraan
positif,#Repost from sandiuno (repost_media_app)  Prabowo-Sandi tidak ingin gagal fokus. Kita ingin pembangunan besar-besaran ini berdampak langsung pada ekonomi dan kesejahteraanâ€¦  https://www.instagram.com/fely_irzahn/p/BwQN4Ubgziz/?utm_source=ig_twitter_share&igshid=4xvs93h4zmduÂ â€¦,0,1,0.03202846975088968,repot from sandiuno repostmediaapp prabowosandi tidak gagal fokus pembangunan besarbesaran berdampak langsung kesejahteraan
negatif,Alasan Prabowo-Sandi Tak Terima Gaji Jika Menang: Negara Sedang Susah  https://kumparan.com/@kumparannews/alasan-prabowo-sandi-tak-terima-gaji-jika-menang-negara-sedang-susah-1qsiM359eYk?utm_medium=post&utm_source=Facebook&utm_campaign=intÂ â€¦,0,1,0.06147540983606557,alasan prabowosandi terima gaji menang negara susah
negatif,"He, he, he, pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima, dungu!",1,0,0.05454545454545454,banget banget banget pikirkan letjen pemecatan bilang biang kerok presiden jenderal sby jenderal soeharto bintang nya dungu
netral,"Jokowi menambahkan, capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105782861150314496/photo/1 pic.twitter.com/y4PFLSTk8lÂ ",0,0,0.050387596899224806,capaian pertumbuhan syukuri indonesia tumbuh kondisi global bergejolak jokowikyaimaruf
positif,"Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus  https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Facebook#Echobox=1555173787Â â€¦",0,1,0.04697986577181208,janji ambil gaji menang pilpres prabowo bukti tulus
negatif,"Terus lah bersuara minta keadilan. 1 suara begitu berarti.  @KPU_ID  kerja yang benar,jangan makan gaji buta. Jangan curang.",0,0,0.056451612903225805,terus bersuara keadilan suara kpu kerja benarjangan makan gaji buta jangan curang
negatif,Jelas Jokowi lah. Prabowo dan Sandi pecicilan. Selalu pesimis tanpa jalan keluar jelas. Ekonomi Makro dan Mikro saja tak tau,0,0,0.06451612903225806,prabowo sandi cicilan pesimis jalan makaroni mikro tau
positif,"gue kasih tau..Menterinya aja berprestasi, apalagi pemimpinnya. Bisa dikatakan, era @jokowi lah dimana sejumlah menterinya banyak meraih penghargaan.Â  https://bit.ly/2IpbIDdÂ Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",0,0,0.08225108225108226,gue kasih taumenterinya berprestasi pemimpinnya era dimana menterinya meraih penghargaan
netral,Berita terbaru (Prabowo: Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun) telah ada di  http://PILPRES.idÂ  -  https://pilpres.id/info/prabowo-saya-tak-ingin-naikkan-pajak-16-persen-dalam-setahun.htmlÂ â€¦ pic.twitter.com/8o7biqQ0gn,0,0,0.08016877637130802,berita terbaru prabowo naikkan pajak persen setahun
positif,"Jokowi menjelaskan, pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan. Dengan demikian, kekuatan ekonomi Indonesia bisa lebih stabil #2019JokowiKyaiMaruf  https://twitter.com/Tagar_Nusantara/status/1105659138061688838/photo/1 pic.twitter.com/XYt9VIWpRJÂ ",0,0,0.050314465408805034,pembangunan revitalisasi pasar rakyat dasar utama pembangunan berbasis kerakyatan kekuatan indonesia stabil jokowikyaimaruf
netral,"gue kasih tau..Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.Â  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]Â #PilihOrangBaikÂ #PilihJelasIslamnyaÂ #PilihBajuPutih",0,1,0.0873015873015873,gue kasih tauberbagai pencapaian berhasil tercapai pertumbuhan era pemerintahan meningkat
positif,"#PilihOrangBaik#PilihJelasIslamnya #PilihBajuPutih  Presiden @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦",0,0,0.0932475884244373,pilihorangbaikpilihjelasislamnya presiden membangunkan spbu kabupaten puncak jaya papua harga ribuliter liter
